                                                                                                                                                                                                                                                                                
{'loss': 7.3005, 'grad_norm': 4.268008708953857, 'learning_rate': 1.9852286972286428e-07, 'epoch': 0.1}
{'loss': 7.3539, 'grad_norm': 4.370217800140381, 'learning_rate': 1.9845950802266581e-07, 'epoch': 0.1}
{'loss': 7.0801, 'grad_norm': 4.172675609588623, 'learning_rate': 1.9839482629689153e-07, 'epoch': 0.1}
{'loss': 7.1785, 'grad_norm': 4.2921929359436035, 'learning_rate': 1.9832882541271543e-07, 'epoch': 0.1}
{'loss': 7.2421, 'grad_norm': 4.234317779541016, 'learning_rate': 1.9826150625499732e-07, 'epoch': 0.1}
{'loss': 7.6352, 'grad_norm': 4.554845809936523, 'learning_rate': 1.9819286972627065e-07, 'epoch': 0.1}
{'loss': 7.4848, 'grad_norm': 4.458660125732422, 'learning_rate': 1.981229167467308e-07, 'epoch': 0.1}
{'loss': 7.3012, 'grad_norm': 4.243378639221191, 'learning_rate': 1.9805164825422235e-07, 'epoch': 0.1}
{'loss': 6.9108, 'grad_norm': 4.0695695877075195, 'learning_rate': 1.9797906520422676e-07, 'epoch': 0.11}
{'loss': 7.2913, 'grad_norm': 4.353623867034912, 'learning_rate': 1.9790516856984946e-07, 'epoch': 0.11}
{'loss': 7.2382, 'grad_norm': 4.31585693359375, 'learning_rate': 1.9782995934180686e-07, 'epoch': 0.11}
{'loss': 7.2793, 'grad_norm': 4.263280391693115, 'learning_rate': 1.9775343852841297e-07, 'epoch': 0.11}
{'loss': 7.7244, 'grad_norm': 4.611063480377197, 'learning_rate': 1.9767560715556595e-07, 'epoch': 0.11}
{'loss': 7.5063, 'grad_norm': 4.443994522094727, 'learning_rate': 1.9759646626673442e-07, 'epoch': 0.11}
{'loss': 7.2343, 'grad_norm': 4.279661178588867, 'learning_rate': 1.9751601692294336e-07, 'epoch': 0.11}
{'loss': 7.3137, 'grad_norm': 4.28756856918335, 'learning_rate': 1.9743426020275992e-07, 'epoch': 0.11}
{'loss': 7.0681, 'grad_norm': 4.162588119506836, 'learning_rate': 1.9735119720227896e-07, 'epoch': 0.11}
{'loss': 7.5572, 'grad_norm': 4.437133312225342, 'learning_rate': 1.9726682903510838e-07, 'epoch': 0.12}
{'loss': 7.1761, 'grad_norm': 4.284448623657227, 'learning_rate': 1.9718115683235416e-07, 'epoch': 0.12}
{'loss': 7.2904, 'grad_norm': 4.344395637512207, 'learning_rate': 1.970941817426052e-07, 'epoch': 0.12}
{'loss': 7.3045, 'grad_norm': 4.3171916007995605, 'learning_rate': 1.9700590493191794e-07, 'epoch': 0.12}
{'loss': 7.2699, 'grad_norm': 4.308318614959717, 'learning_rate': 1.969163275838007e-07, 'epoch': 0.12}
{'loss': 7.522, 'grad_norm': 4.433670520782471, 'learning_rate': 1.9682545089919782e-07, 'epoch': 0.12}
{'loss': 7.2288, 'grad_norm': 4.316845893859863, 'learning_rate': 1.9673327609647363e-07, 'epoch': 0.12}
{'loss': 7.1886, 'grad_norm': 4.258510112762451, 'learning_rate': 1.96639804411396e-07, 'epoch': 0.12}
{'loss': 6.9899, 'grad_norm': 4.074390888214111, 'learning_rate': 1.965450370971198e-07, 'epoch': 0.12}
{'loss': 6.8153, 'grad_norm': 4.025167942047119, 'learning_rate': 1.9644897542417017e-07, 'epoch': 0.13}
{'loss': 6.6398, 'grad_norm': 3.894153356552124, 'learning_rate': 1.9635162068042544e-07, 'epoch': 0.13}
{'loss': 7.1815, 'grad_norm': 4.230583190917969, 'learning_rate': 1.9625297417109977e-07, 'epoch': 0.13}
{'loss': 7.1162, 'grad_norm': 4.24819278717041, 'learning_rate': 1.9615303721872593e-07, 'epoch': 0.13}
{'loss': 7.4415, 'grad_norm': 4.3430304527282715, 'learning_rate': 1.9605181116313724e-07, 'epoch': 0.13}
{'loss': 7.0923, 'grad_norm': 4.276638984680176, 'learning_rate': 1.9594929736144973e-07, 'epoch': 0.13}
{'loss': 7.426, 'grad_norm': 4.450326442718506, 'learning_rate': 1.958454971880441e-07, 'epoch': 0.13}
{'loss': 7.2536, 'grad_norm': 4.374699592590332, 'learning_rate': 1.9574041203454702e-07, 'epoch': 0.13}
{'loss': 6.9971, 'grad_norm': 4.266197681427002, 'learning_rate': 1.9563404330981274e-07, 'epoch': 0.13}
{'loss': 6.7401, 'grad_norm': 3.8792319297790527, 'learning_rate': 1.9552639243990399e-07, 'epoch': 0.14}
{'loss': 7.4465, 'grad_norm': 4.409702777862549, 'learning_rate': 1.9541746086807294e-07, 'epoch': 0.14}
{'loss': 7.1407, 'grad_norm': 4.241205215454102, 'learning_rate': 1.9530725005474194e-07, 'epoch': 0.14}
{'loss': 7.0095, 'grad_norm': 4.080660343170166, 'learning_rate': 1.9519576147748375e-07, 'epoch': 0.14}
{'loss': 6.862, 'grad_norm': 4.043553352355957, 'learning_rate': 1.9508299663100194e-07, 'epoch': 0.14}
{'loss': 7.2416, 'grad_norm': 4.2537078857421875, 'learning_rate': 1.9496895702711067e-07, 'epoch': 0.14}
{'loss': 7.3847, 'grad_norm': 4.3474650382995605, 'learning_rate': 1.9485364419471452e-07, 'epoch': 0.14}
{'loss': 6.8576, 'grad_norm': 4.046198844909668, 'learning_rate': 1.9473705967978807e-07, 'epoch': 0.14}
{'loss': 7.1781, 'grad_norm': 4.2844085693359375, 'learning_rate': 1.9461920504535486e-07, 'epoch': 0.14}
{'loss': 7.2381, 'grad_norm': 4.320295810699463, 'learning_rate': 1.9450008187146683e-07, 'epoch': 0.15}
{'loss': 7.2747, 'grad_norm': 4.458009243011475, 'learning_rate': 1.9437969175518293e-07, 'epoch': 0.15}
{'loss': 7.0658, 'grad_norm': 4.3028717041015625, 'learning_rate': 1.942580363105477e-07, 'epoch': 0.15}
{'loss': 7.3317, 'grad_norm': 4.582386493682861, 'learning_rate': 1.941351171685697e-07, 'epoch': 0.15}
{'loss': 7.2519, 'grad_norm': 4.46275520324707, 'learning_rate': 1.9401093597719958e-07, 'epoch': 0.15}
{'loss': 6.658, 'grad_norm': 4.119359493255615, 'learning_rate': 1.9388549440130797e-07, 'epoch': 0.15}
{'loss': 6.9498, 'grad_norm': 4.16009521484375, 'learning_rate': 1.9375879412266334e-07, 'epoch': 0.15}
{'loss': 7.1639, 'grad_norm': 4.3939924240112305, 'learning_rate': 1.936308368399092e-07, 'epoch': 0.15}
{'loss': 7.0228, 'grad_norm': 4.2822980880737305, 'learning_rate': 1.935016242685415e-07, 'epoch': 0.15}
{'loss': 7.1693, 'grad_norm': 4.414506912231445, 'learning_rate': 1.9337115814088552e-07, 'epoch': 0.16}
{'loss': 7.321, 'grad_norm': 4.5172624588012695, 'learning_rate': 1.932394402060728e-07, 'epoch': 0.16}
{'loss': 7.3189, 'grad_norm': 4.495223522186279, 'learning_rate': 1.931064722300175e-07, 'epoch': 0.16}
{'loss': 7.1361, 'grad_norm': 4.435497760772705, 'learning_rate': 1.9297225599539287e-07, 'epoch': 0.16}
{'loss': 7.5654, 'grad_norm': 4.577936172485352, 'learning_rate': 1.9283679330160724e-07, 'epoch': 0.16}
{'loss': 7.2153, 'grad_norm': 4.452459812164307, 'learning_rate': 1.9270008596478005e-07, 'epoch': 0.16}
{'loss': 7.1593, 'grad_norm': 4.331300735473633, 'learning_rate': 1.9256213581771728e-07, 'epoch': 0.16}
{'loss': 7.1478, 'grad_norm': 4.400116443634033, 'learning_rate': 1.9242294470988713e-07, 'epoch': 0.16}
{'loss': 7.5377, 'grad_norm': 4.700530052185059, 'learning_rate': 1.9228251450739493e-07, 'epoch': 0.17}
{'loss': 7.5458, 'grad_norm': 4.583368301391602, 'learning_rate': 1.9214084709295845e-07, 'epoch': 0.17}
{'loss': 7.1671, 'grad_norm': 4.446017265319824, 'learning_rate': 1.9199794436588242e-07, 'epoch': 0.17}
{'loss': 7.3174, 'grad_norm': 4.576923847198486, 'learning_rate': 1.9185380824203314e-07, 'epoch': 0.17}
{'loss': 7.3326, 'grad_norm': 4.634727954864502, 'learning_rate': 1.9170844065381284e-07, 'epoch': 0.17}
{'loss': 7.138, 'grad_norm': 4.51347541809082, 'learning_rate': 1.9156184355013365e-07, 'epoch': 0.17}
{'loss': 6.9606, 'grad_norm': 4.272228717803955, 'learning_rate': 1.9141401889639166e-07, 'epoch': 0.17}
{'loss': 7.395, 'grad_norm': 4.667514801025391, 'learning_rate': 1.9126496867444035e-07, 'epoch': 0.17}
{'loss': 7.1347, 'grad_norm': 4.342130661010742, 'learning_rate': 1.911146948825642e-07, 'epoch': 0.17}
{'loss': 7.2959, 'grad_norm': 4.492919445037842, 'learning_rate': 1.9096319953545185e-07, 'epoch': 0.18}
{'loss': 7.3271, 'grad_norm': 4.584566116333008, 'learning_rate': 1.9081048466416894e-07, 'epoch': 0.18}
{'loss': 6.9756, 'grad_norm': 4.364978313446045, 'learning_rate': 1.906565523161312e-07, 'epoch': 0.18}
{'loss': 7.0077, 'grad_norm': 4.254664897918701, 'learning_rate': 1.9050140455507665e-07, 'epoch': 0.18}
{'loss': 7.0477, 'grad_norm': 4.400152206420898, 'learning_rate': 1.903450434610382e-07, 'epoch': 0.18}
{'loss': 7.2155, 'grad_norm': 4.5199360847473145, 'learning_rate': 1.9018747113031562e-07, 'epoch': 0.18}
{'loss': 7.4851, 'grad_norm': 4.712596416473389, 'learning_rate': 1.9002868967544742e-07, 'epoch': 0.18}
{'loss': 7.1631, 'grad_norm': 4.4717888832092285, 'learning_rate': 1.898687012251826e-07, 'epoch': 0.18}
{'loss': 7.0704, 'grad_norm': 4.40092134475708, 'learning_rate': 1.8970750792445216e-07, 'epoch': 0.18}
{'loss': 7.1081, 'grad_norm': 4.314896583557129, 'learning_rate': 1.895451119343402e-07, 'epoch': 0.19}
{'loss': 7.5363, 'grad_norm': 4.765661239624023, 'learning_rate': 1.893815154320551e-07, 'epoch': 0.19}
{'loss': 7.3025, 'grad_norm': 4.508641242980957, 'learning_rate': 1.892167206109001e-07, 'epoch': 0.19}
{'loss': 7.0958, 'grad_norm': 4.35610294342041, 'learning_rate': 1.8905072968024423e-07, 'epoch': 0.19}
{'loss': 6.8768, 'grad_norm': 4.295827388763428, 'learning_rate': 1.8888354486549234e-07, 'epoch': 0.19}
{'loss': 7.4209, 'grad_norm': 4.586435794830322, 'learning_rate': 1.8871516840805553e-07, 'epoch': 0.19}
{'loss': 7.2544, 'grad_norm': 4.494519233703613, 'learning_rate': 1.8854560256532097e-07, 'epoch': 0.19}
{'loss': 7.3849, 'grad_norm': 4.532711029052734, 'learning_rate': 1.8837484961062168e-07, 'epoch': 0.19}
{'loss': 7.3872, 'grad_norm': 4.65753698348999, 'learning_rate': 1.88202911833206e-07, 'epoch': 0.19}
{'loss': 7.3868, 'grad_norm': 4.513492584228516, 'learning_rate': 1.8802979153820696e-07, 'epoch': 0.2}
{'loss': 6.9456, 'grad_norm': 4.214192867279053, 'learning_rate': 1.8785549104661134e-07, 'epoch': 0.2}
{'loss': 7.426, 'grad_norm': 4.725550174713135, 'learning_rate': 1.8768001269522856e-07, 'epoch': 0.2}
{'loss': 7.1081, 'grad_norm': 4.428257942199707, 'learning_rate': 1.8750335883665945e-07, 'epoch': 0.2}
{'loss': 7.2994, 'grad_norm': 4.558864116668701, 'learning_rate': 1.873255318392644e-07, 'epoch': 0.2}
{'loss': 6.8558, 'grad_norm': 4.099386215209961, 'learning_rate': 1.87146534087132e-07, 'epoch': 0.2}
{'loss': 7.3741, 'grad_norm': 4.507355690002441, 'learning_rate': 1.8696636798004691e-07, 'epoch': 0.2}
{'loss': 7.2174, 'grad_norm': 4.613460063934326, 'learning_rate': 1.867850359334575e-07, 'epoch': 0.2}
{'loss': 7.2013, 'grad_norm': 4.515154838562012, 'learning_rate': 1.8660254037844388e-07, 'epoch': 0.2}
{'loss': 7.0819, 'grad_norm': 4.4067277908325195, 'learning_rate': 1.8641888376168482e-07, 'epoch': 0.21}
{'loss': 7.1717, 'grad_norm': 4.562863349914551, 'learning_rate': 1.8623406854542538e-07, 'epoch': 0.21}
{'loss': 7.1607, 'grad_norm': 4.575504779815674, 'learning_rate': 1.8604809720744367e-07, 'epoch': 0.21}
{'loss': 7.1281, 'grad_norm': 4.529595851898193, 'learning_rate': 1.8586097224101764e-07, 'epoch': 0.21}
{'loss': 7.1095, 'grad_norm': 4.501248836517334, 'learning_rate': 1.856726961548917e-07, 'epoch': 0.21}
{'loss': 7.0667, 'grad_norm': 4.424047470092773, 'learning_rate': 1.8548327147324313e-07, 'epoch': 0.21}
{'loss': 7.3134, 'grad_norm': 4.585738182067871, 'learning_rate': 1.8529270073564808e-07, 'epoch': 0.21}
{'loss': 7.5636, 'grad_norm': 4.777629375457764, 'learning_rate': 1.8510098649704776e-07, 'epoch': 0.21}
{'loss': 6.9929, 'grad_norm': 4.3116044998168945, 'learning_rate': 1.8490813132771393e-07, 'epoch': 0.21}
{'loss': 7.4923, 'grad_norm': 4.7742791175842285, 'learning_rate': 1.8471413781321464e-07, 'epoch': 0.22}
{'loss': 6.9282, 'grad_norm': 4.324579238891602, 'learning_rate': 1.8451900855437948e-07, 'epoch': 0.22}
{'loss': 7.0068, 'grad_norm': 4.346553325653076, 'learning_rate': 1.8432274616726466e-07, 'epoch': 0.22}
{'loss': 7.1193, 'grad_norm': 4.532444477081299, 'learning_rate': 1.8412535328311812e-07, 'epoch': 0.22}
{'loss': 7.0197, 'grad_norm': 4.37739372253418, 'learning_rate': 1.8392683254834399e-07, 'epoch': 0.22}
{'loss': 7.0972, 'grad_norm': 4.499633312225342, 'learning_rate': 1.8372718662446737e-07, 'epoch': 0.22}
{'loss': 7.0526, 'grad_norm': 4.484495162963867, 'learning_rate': 1.8352641818809847e-07, 'epoch': 0.22}
{'loss': 7.0926, 'grad_norm': 4.425955772399902, 'learning_rate': 1.8332452993089677e-07, 'epoch': 0.22}
{'loss': 7.5042, 'grad_norm': 4.817630290985107, 'learning_rate': 1.8312152455953502e-07, 'epoch': 0.22}
{'loss': 7.0936, 'grad_norm': 4.48637580871582, 'learning_rate': 1.8291740479566281e-07, 'epoch': 0.23}
{'loss': 7.007, 'grad_norm': 4.462841510772705, 'learning_rate': 1.827121733758702e-07, 'epoch': 0.23}
{'loss': 7.1965, 'grad_norm': 4.638040542602539, 'learning_rate': 1.8250583305165094e-07, 'epoch': 0.23}
{'loss': 7.0945, 'grad_norm': 4.533092021942139, 'learning_rate': 1.8229838658936564e-07, 'epoch': 0.23}
{'loss': 7.1528, 'grad_norm': 4.570626735687256, 'learning_rate': 1.8208983677020468e-07, 'epoch': 0.23}
{'loss': 7.2506, 'grad_norm': 4.711019992828369, 'learning_rate': 1.8188018639015092e-07, 'epoch': 0.23}
{'loss': 7.3832, 'grad_norm': 4.647726535797119, 'learning_rate': 1.8166943825994217e-07, 'epoch': 0.23}
