                                                                                                                                                                                                                                                                                     
{'loss': 0.2783, 'grad_norm': 0.44100046913349106, 'learning_rate': 2.9409356349051662e-05, 'epoch': 0.12}
{'loss': 0.3515, 'grad_norm': 0.48571101186600607, 'learning_rate': 2.9388593393170596e-05, 'epoch': 0.12}
{'loss': 0.1992, 'grad_norm': 0.7085975228991879, 'learning_rate': 2.936747935981057e-05, 'epoch': 0.12}
{'loss': 0.1835, 'grad_norm': 0.3801110888551171, 'learning_rate': 2.9346014764147837e-05, 'epoch': 0.12}
{'loss': 0.1886, 'grad_norm': 0.41898491720412867, 'learning_rate': 2.9324200129912265e-05, 'epoch': 0.13}
{'loss': 0.1662, 'grad_norm': 0.32935474327407227, 'learning_rate': 2.9302035989374565e-05, 'epoch': 0.13}
{'loss': 0.2891, 'grad_norm': 0.4244065259834552, 'learning_rate': 2.9279522883333293e-05, 'epoch': 0.13}
{'loss': 0.1538, 'grad_norm': 0.5146749666493388, 'learning_rate': 2.9256661361101666e-05, 'epoch': 0.13}
{'loss': 0.1422, 'grad_norm': 0.34787897897178455, 'learning_rate': 2.9233451980494155e-05, 'epoch': 0.13}
{'loss': 0.1576, 'grad_norm': 0.34874559702228647, 'learning_rate': 2.920989530781287e-05, 'epoch': 0.13}
{'loss': 0.1358, 'grad_norm': 0.414177214897273, 'learning_rate': 2.9185991917833755e-05, 'epoch': 0.13}
{'loss': 0.1323, 'grad_norm': 0.33212176339990307, 'learning_rate': 2.9161742393792533e-05, 'epoch': 0.14}
{'loss': 0.2004, 'grad_norm': 0.4650675440547524, 'learning_rate': 2.9137147327370534e-05, 'epoch': 0.14}
{'loss': 0.1857, 'grad_norm': 0.4529087376826783, 'learning_rate': 2.9112207318680183e-05, 'epoch': 0.14}
{'loss': 0.1859, 'grad_norm': 0.44660757646592275, 'learning_rate': 2.9086922976250416e-05, 'epoch': 0.14}
{'loss': 0.1623, 'grad_norm': 0.3747808700832567, 'learning_rate': 2.9061294917011817e-05, 'epoch': 0.14}
{'loss': 0.1701, 'grad_norm': 0.49875130149626995, 'learning_rate': 2.9035323766281538e-05, 'epoch': 0.14}
{'loss': 0.3113, 'grad_norm': 0.4256973458003688, 'learning_rate': 2.9009010157748082e-05, 'epoch': 0.14}
