                                                                                                                                                                                                                                                                                                                                                                                                                   
{'loss': 0.194, 'grad_norm': 0.4015990896489319, 'learning_rate': 9.921984898930147e-05, 'epoch': 0.09}
{'loss': 0.1252, 'grad_norm': 0.5619306405365884, 'learning_rate': 9.918565406204025e-05, 'epoch': 0.09}
{'loss': 0.2303, 'grad_norm': 0.39205369883938135, 'learning_rate': 9.915073186833774e-05, 'epoch': 0.09}
{'loss': 0.1748, 'grad_norm': 0.3310941956746351, 'learning_rate': 9.911508292455867e-05, 'epoch': 0.09}
{'loss': 0.1408, 'grad_norm': 0.3934970458266275, 'learning_rate': 9.90787077578137e-05, 'epoch': 0.09}
{'loss': 0.1335, 'grad_norm': 0.32165674235137637, 'learning_rate': 9.904160690595147e-05, 'epoch': 0.09}
{'loss': 0.1252, 'grad_norm': 0.2871079492335079, 'learning_rate': 9.900378091755072e-05, 'epoch': 0.09}
{'loss': 0.1082, 'grad_norm': 0.49008181599871764, 'learning_rate': 9.896523035191219e-05, 'epoch': 0.09}
{'loss': 0.1629, 'grad_norm': 0.399088148860397, 'learning_rate': 9.892595577905031e-05, 'epoch': 0.1}
{'loss': 0.1497, 'grad_norm': 0.3035833059377365, 'learning_rate': 9.888595777968479e-05, 'epoch': 0.1}
{'loss': 0.1514, 'grad_norm': 0.3768098801818101, 'learning_rate': 9.884523694523201e-05, 'epoch': 0.1}
{'loss': 0.2038, 'grad_norm': 0.5435674403088095, 'learning_rate': 9.880379387779637e-05, 'epoch': 0.1}
{'loss': 0.1299, 'grad_norm': 0.41797399633639376, 'learning_rate': 9.876162919016122e-05, 'epoch': 0.1}
{'loss': 0.1327, 'grad_norm': 0.30777427622604947, 'learning_rate': 9.871874350577997e-05, 'epoch': 0.1}
{'loss': 0.135, 'grad_norm': 0.42182419332812654, 'learning_rate': 9.867513745876677e-05, 'epoch': 0.1}
{'loss': 0.1503, 'grad_norm': 0.334163240220007, 'learning_rate': 9.863081169388712e-05, 'epoch': 0.1}
{'loss': 0.1754, 'grad_norm': 0.42566103722529036, 'learning_rate': 9.858576686654846e-05, 'epoch': 0.11}
{'loss': 0.164, 'grad_norm': 0.4192314785976624, 'learning_rate': 9.854000364279032e-05, 'epoch': 0.11}
{'loss': 0.3141, 'grad_norm': 0.6595665722570916, 'learning_rate': 9.849352269927459e-05, 'epoch': 0.11}
{'loss': 0.0899, 'grad_norm': 0.343520287233113, 'learning_rate': 9.844632472327542e-05, 'epoch': 0.11}
{'loss': 0.1057, 'grad_norm': 0.39466120174587394, 'learning_rate': 9.83984104126692e-05, 'epoch': 0.11}
{'loss': 0.1561, 'grad_norm': 0.35431023585803784, 'learning_rate': 9.834978047592405e-05, 'epoch': 0.11}
{'loss': 0.1522, 'grad_norm': 0.35901658953945453, 'learning_rate': 9.830043563208953e-05, 'epoch': 0.11}
{'loss': 0.2235, 'grad_norm': 0.44082716740821115, 'learning_rate': 9.825037661078584e-05, 'epoch': 0.11}
{'loss': 0.14, 'grad_norm': 0.4171740710202942, 'learning_rate': 9.81996041521932e-05, 'epoch': 0.12}
{'loss': 0.1215, 'grad_norm': 0.3092614226552284, 'learning_rate': 9.814811900704078e-05, 'epoch': 0.12}
{'loss': 0.263, 'grad_norm': 0.34990477281481513, 'learning_rate': 9.809592193659562e-05, 'epoch': 0.12}
{'loss': 0.1231, 'grad_norm': 0.7621701856788767, 'learning_rate': 9.804301371265141e-05, 'epoch': 0.12}
{'loss': 0.168, 'grad_norm': 0.5405307157563354, 'learning_rate': 9.798939511751709e-05, 'epoch': 0.12}
{'loss': 0.1043, 'grad_norm': 0.5502373923919223, 'learning_rate': 9.793506694400523e-05, 'epoch': 0.12}
{'loss': 0.1919, 'grad_norm': 0.4343276970049114, 'learning_rate': 9.78800299954203e-05, 'epoch': 0.12}
{'loss': 0.181, 'grad_norm': 0.41430652462896905, 'learning_rate': 9.78242850855469e-05, 'epoch': 0.12}
{'loss': 0.1272, 'grad_norm': 0.32019841520838144, 'learning_rate': 9.776783303863758e-05, 'epoch': 0.12}
{'loss': 0.1798, 'grad_norm': 0.3337914148746791, 'learning_rate': 9.771067468940077e-05, 'epoch': 0.13}
{'loss': 0.1285, 'grad_norm': 0.5534044392634418, 'learning_rate': 9.765281088298837e-05, 'epoch': 0.13}
{'loss': 0.0719, 'grad_norm': 0.2866628538927974, 'learning_rate': 9.759424247498328e-05, 'epoch': 0.13}
{'loss': 0.1726, 'grad_norm': 0.6033599042053926, 'learning_rate': 9.753497033138674e-05, 'epoch': 0.13}
{'loss': 0.1027, 'grad_norm': 0.3391742398972375, 'learning_rate': 9.747499532860554e-05, 'epoch': 0.13}
{'loss': 0.1094, 'grad_norm': 0.3638239124935393, 'learning_rate': 9.741431835343906e-05, 'epoch': 0.13}
{'loss': 0.106, 'grad_norm': 0.33787861999914376, 'learning_rate': 9.735294030306611e-05, 'epoch': 0.13}
{'loss': 0.1439, 'grad_norm': 0.3263223982315089, 'learning_rate': 9.729086208503174e-05, 'epoch': 0.13}
{'loss': 0.0985, 'grad_norm': 0.4455200329707198, 'learning_rate': 9.722808461723378e-05, 'epoch': 0.14}
{'loss': 0.1531, 'grad_norm': 0.36421973558198806, 'learning_rate': 9.716460882790924e-05, 'epoch': 0.14}
{'loss': 0.1444, 'grad_norm': 0.3058319484040359, 'learning_rate': 9.710043565562066e-05, 'epoch': 0.14}
{'loss': 0.1088, 'grad_norm': 0.2971769971238635, 'learning_rate': 9.703556604924216e-05, 'epoch': 0.14}
{'loss': 0.1429, 'grad_norm': 0.5138195087744805, 'learning_rate': 9.697000096794544e-05, 'epoch': 0.14}
{'loss': 0.1453, 'grad_norm': 0.45239045026550573, 'learning_rate': 9.690374138118561e-05, 'epoch': 0.14}
{'loss': 0.1166, 'grad_norm': 0.3582762925941054, 'learning_rate': 9.683678826868685e-05, 'epoch': 0.14}
{'loss': 0.1003, 'grad_norm': 0.32400653057899736, 'learning_rate': 9.676914262042789e-05, 'epoch': 0.14}
{'loss': 0.1573, 'grad_norm': 0.5155183054137384, 'learning_rate': 9.67008054366274e-05, 'epoch': 0.14}
{'loss': 0.1596, 'grad_norm': 0.41963841919977374, 'learning_rate': 9.663177772772923e-05, 'epoch': 0.15}
{'loss': 0.1613, 'grad_norm': 0.8172785554248827, 'learning_rate': 9.656206051438737e-05, 'epoch': 0.15}
{'loss': 0.1215, 'grad_norm': 0.4321586088915698, 'learning_rate': 9.6491654827451e-05, 'epoch': 0.15}
{'loss': 0.2176, 'grad_norm': 0.6880390289606199, 'learning_rate': 9.642056170794916e-05, 'epoch': 0.15}
{'loss': 0.1852, 'grad_norm': 0.4759991449826706, 'learning_rate': 9.634878220707531e-05, 'epoch': 0.15}
{'loss': 0.1838, 'grad_norm': 0.5498503208387566, 'learning_rate': 9.627631738617191e-05, 'epoch': 0.15}
{'loss': 0.1322, 'grad_norm': 0.4533449743985064, 'learning_rate': 9.620316831671465e-05, 'epoch': 0.15}
{'loss': 0.1073, 'grad_norm': 0.45571830278488745, 'learning_rate': 9.612933608029662e-05, 'epoch': 0.15}
{'loss': 0.1842, 'grad_norm': 0.3860583598109535, 'learning_rate': 9.605482176861232e-05, 'epoch': 0.16}
{'loss': 0.1539, 'grad_norm': 0.45471073390843975, 'learning_rate': 9.59796264834415e-05, 'epoch': 0.16}
{'loss': 0.115, 'grad_norm': 0.3932934505551147, 'learning_rate': 9.590375133663289e-05, 'epoch': 0.16}
{'loss': 0.0937, 'grad_norm': 0.41160601590023943, 'learning_rate': 9.58271974500878e-05, 'epoch': 0.16}
{'loss': 0.1269, 'grad_norm': 0.4744392520669588, 'learning_rate': 9.574996595574343e-05, 'epoch': 0.16}
{'loss': 0.0905, 'grad_norm': 0.3895936096151949, 'learning_rate': 9.567205799555621e-05, 'epoch': 0.16}
{'loss': 0.1149, 'grad_norm': 0.5145775828045748, 'learning_rate': 9.55934747214849e-05, 'epoch': 0.16}
{'loss': 0.1408, 'grad_norm': 0.3702355621955969, 'learning_rate': 9.551421729547355e-05, 'epoch': 0.16}
{'loss': 0.1191, 'grad_norm': 0.4461920515392336, 'learning_rate': 9.543428688943432e-05, 'epoch': 0.17}
{'loss': 0.1185, 'grad_norm': 0.4057453242554455, 'learning_rate': 9.535368468523018e-05, 'epoch': 0.17}
{'loss': 0.146, 'grad_norm': 0.5425839165889496, 'learning_rate': 9.527241187465734e-05, 'epoch': 0.17}
{'loss': 0.0757, 'grad_norm': 0.28034454732536906, 'learning_rate': 9.519046965942776e-05, 'epoch': 0.17}
{'loss': 0.1993, 'grad_norm': 0.6110116509111153, 'learning_rate': 9.51078592511513e-05, 'epoch': 0.17}
{'loss': 0.0712, 'grad_norm': 0.37425461133563936, 'learning_rate': 9.502458187131782e-05, 'epoch': 0.17}
{'loss': 0.1358, 'grad_norm': 0.5035829804130545, 'learning_rate': 9.494063875127912e-05, 'epoch': 0.17}
{'loss': 0.1156, 'grad_norm': 0.4230641255469272, 'learning_rate': 9.485603113223073e-05, 'epoch': 0.17}
{'loss': 0.1652, 'grad_norm': 0.3600260729142709, 'learning_rate': 9.477076026519356e-05, 'epoch': 0.17}
{'loss': 0.1214, 'grad_norm': 0.4023530161294114, 'learning_rate': 9.468482741099542e-05, 'epoch': 0.18}
{'loss': 0.0965, 'grad_norm': 0.436474370128682, 'learning_rate': 9.459823384025234e-05, 'epoch': 0.18}
{'loss': 0.1069, 'grad_norm': 0.4538031647562146, 'learning_rate': 9.451098083334984e-05, 'epoch': 0.18}
{'loss': 0.0901, 'grad_norm': 0.37467332197256886, 'learning_rate': 9.442306968042392e-05, 'epoch': 0.18}
{'loss': 0.1174, 'grad_norm': 0.3764266611054027, 'learning_rate': 9.433450168134204e-05, 'epoch': 0.18}
{'loss': 0.1175, 'grad_norm': 0.42001080522170114, 'learning_rate': 9.42452781456839e-05, 'epoch': 0.18}
{'loss': 0.1004, 'grad_norm': 0.37628101661195007, 'learning_rate': 9.415540039272201e-05, 'epoch': 0.18}
{'loss': 0.1272, 'grad_norm': 0.44928590543959895, 'learning_rate': 9.406486975140234e-05, 'epoch': 0.18}
{'loss': 0.0965, 'grad_norm': 0.3477788768912548, 'learning_rate': 9.397368756032445e-05, 'epoch': 0.19}
{'loss': 0.1679, 'grad_norm': 0.5077354997066544, 'learning_rate': 9.38818551677219e-05, 'epoch': 0.19}
{'loss': 0.1456, 'grad_norm': 0.5137255395021914, 'learning_rate': 9.378937393144215e-05, 'epoch': 0.19}
{'loss': 0.0727, 'grad_norm': 0.3689583406245908, 'learning_rate': 9.369624521892662e-05, 'epoch': 0.19}
{'loss': 0.1495, 'grad_norm': 0.38129461413276894, 'learning_rate': 9.360247040719039e-05, 'epoch': 0.19}
